menu_item_id,item_name,category,price
101,Biryani,American,80.00
102,Dosa,American,100.00
103,Momos,American,150.00
104,"Veg Roll",American,160.00
105,"Mac & Cheese",American,220.00
106,"French Fries",American,200.00
107,"Fried Rice",Asian,180.00
108,"Pav Bhaji",Asian,190.00
109,Pasta,Asian,390.00
110,Pizza,Asian,570.00
111,"California Roll",Asian,11.95
112,"Salmon Roll",Asian,14.95
113,Edamame,Asian,5.00
114,Potstickers,Asian,9.00
115,"Chicken Tacos",Mexican,11.95
116,"Steak Tacos",Mexican,13.95
117,"Chicken Burrito",Mexican,12.95
118,"Steak Burrito",Mexican,14.95
119,"Chicken Torta",Mexican,11.95
120,"Steak Torta",Mexican,13.95
121,"Cheese Quesadillas",Mexican,10.50
122,"Chips & Salsa",Mexican,7.00
123,"Chips & Guacamole",Mexican,9.00
124,Spaghetti,Italian,14.50
125,"Spaghetti & Meatballs",Italian,17.95
126,"Fettuccine Alfredo",Italian,14.50
127,"Meat Lasagna",Italian,17.95
128,"Cheese Lasagna",Italian,15.50
129,"Mushroom Ravioli",Italian,15.50
130,"Shrimp Scampi",Italian,19.95
131,"Chicken Parmesan",Italian,17.95
132,"Eggplant Parmesan",Italian,16.95
